REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2011-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.55,,,,2
2011-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.68,,,,2
2011-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.7,,,,2
2011-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.87,,,,2
2011-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.83,,,,2
2011-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.6,,,,2
2011-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.57,,,,2
2011-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.52,,,,2
2011-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.42,,,,2
2011-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.35,,,,2
2011-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.38,,,,2
2011-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.36,,,,2
2012-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.31,,,,2
2012-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.23,,,,2
2012-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.21,,,,2
2012-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.36,,,,2
2012-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.35,,,,2
2012-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.25,,,,2
2012-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.23,,,,2
2012-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.23,,,,2
2012-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.2,,,,2
2012-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.17,,,,2
2012-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.15,,,,2
2012-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.15,,,,2
2013-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.14,,,,2
2013-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.11,,,,2
2013-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2013-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2013-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2013-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.0,,,,2
2013-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,,,,2
2013-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.14,,,,2
2013-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.33,,,,2
2013-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.4,,,,2
2013-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.39,,,,2
2013-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.39,,,,2
2014-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.38,,,,2
2014-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.32,,,,2
2014-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.16,,,,2
2014-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2014-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2014-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.0,,,,2
2014-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.01,,,,2
2014-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.01,,,,2
2014-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.02,,,,2
2014-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.0,,,,2
2014-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,4.0,,,,2
2014-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.98,,,,2
2015-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.96,,,,2
2015-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.91,,,,2
2015-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.84,,,,2
2015-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.76,,,,2
2015-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.74,,,,2
2015-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.72,,,,2
2015-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.71,,,,2
2015-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.71,,,,2
2015-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.71,,,,2
2015-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.72,,,,2
2015-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.72,,,,2
2015-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.75,,,,2
2016-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.76,,,,2
2016-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.75,,,,2
2016-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.73,,,,2
2016-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.7,,,,2
2016-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.67,,,,2
2016-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.66,,,,2
2016-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.67,,,,2
2016-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.68,,,,2
2016-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.67,,,,2
2016-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.68,,,,2
2016-11-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.7,,,,2
2016-12-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.74,,,,2
2017-01-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.73,,,,2
2017-02-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.75,,,,2
2017-03-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.66,,,,2
2017-04-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.62,,,,2
2017-05-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.59,,,,2
2017-06-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.6,,,,2
2017-07-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.72,,,,2
2017-08-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.82,,,,2
2017-09-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.89,,,,2
2017-10-01,Canada,2016A000011124,Percent,239,units,0,v733833,1,3.98,,,,2
