REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,78.8,E,,,1
2006-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,77.8,,,,1
2006-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,76.9,,,,1
2006-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,80.0,E,,,1
2006-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,79.0,,,,1
2006-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,78.0,,,,1
2006-06-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,81.1,E,,,1
2006-07-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,79.8,,,,1
2006-07-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,78.7,,,,1
2006-07-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,82.3,E,,,1
2006-08-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,81.0,,,,1
2006-08-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,80.0,,,,1
2006-08-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,83.3,E,,,1
2006-09-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,81.4,,,,1
2006-09-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,80.4,,,,1
2006-09-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,83.9,E,,,1
2006-10-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,81.6,,,,1
2006-10-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,80.5,,,,1
2006-10-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,84.1,E,,,1
2006-11-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,82.0,,,,1
2006-11-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,80.8,,,,1
2006-11-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,84.9,E,,,1
